Name,Birth/death dates,File name
Lady Anne Finch Conway,1631–1679,Lady_Anne_Finch_Conway.txt
Lady Mary Shepherd,1777–1847,Lady_Mary_Shepherd.txt
Lao Zi,4th century&nbsp;BC,Lao_Zi.txt
Laurens Perseus Hickok,1798–1888,Laurens_Perseus_Hickok.txt
Leo Löwenthal,1900–1993,Leo_Löwenthal.txt
Leo Mikhailovich Lopatin,1855–1920,Leo_Mikhailovich_Lopatin.txt
Leo Strauss,1899–1973,Leo_Strauss.txt
Leo Tolstoy,1828–1910,Leo_Tolstoy.txt
Leon Brunschvicg,1869–1944,Leon_Brunschvicg.txt
Leon Chwistek,1884–1944,Leon_Chwistek.txt
Leon Petrazycki,1867–1931,Leon_Petrazycki.txt
Leon Trotsky,1879–1940,Leon_Trotsky.txt
Leonard Nelson,1882–1927,Leonard_Nelson.txt
Leonard Trelawny Hobhouse,1864–1929,Leonard_Trelawny_Hobhouse.txt
Leonardo Boff,born 1938,Leonardo_Boff.txt
Leonardo da Vinci,1452–1519,Leonardo_da_Vinci.txt
Leopold Kronecker,1823–1891,Leopold_Kronecker.txt
Leslie Stephen,1832–1904,Leslie_Stephen.txt
Leszek Kołakowski,1927–2009,Leszek_Kołakowski.txt
Leucippus,5th century&nbsp;BC,Leucippus.txt
Lev Shestov,1866–1938,Lev_Shestov.txt
Lev Vygotsky,1896–1934,Lev_Vygotsky.txt
Lewis Carroll,1832–1898,Lewis_Carroll.txt
Lewis H. Morgan,1818–1881,Lewis_H._Morgan.txt
Liang Qichao,1873–1929,Liang_Qichao.txt
Lie Yukou,c. 440 – c. 360& BC,Lie_Yukou.txt
Linji Yixuan,c. 810 – 867,Linji_Yixuan.txt
Linus Pauling,1901–1994,Linus_Pauling.txt
Liu An,179–122 BC,Liu_An.txt
Liu Shaoqi,1898–1969,Liu_Shaoqi.txt
Lon L. Fuller,1902–1978,Lon_L._Fuller.txt
Longinus (literature),1st century,Longinus_(literature).txt
Lorenz Oken,1779–1851,Lorenz_Oken.txt
Lorenzo Valla,1406–1457,Lorenzo_Valla.txt
Lorraine Code,born 1937,Lorraine_Code.txt
Louis Althusser,1918–1990,Louis_Althusser.txt
Louis Couturat,1868–1914,Louis_Couturat.txt
Louis Gabriel Ambroise de Bonald,1754–1840,Louis_Gabriel_Ambroise_de_Bonald.txt
Louis Lavelle,1883–1951,Louis_Lavelle.txt
Louis de La Forge,1632–1666,Louis_de_La_Forge.txt
Lu Jiuyuan,1139–1193,Lu_Jiuyuan.txt
"Luc de Clapiers, marquis de Vauvenargues",1715–1747,"Luc_de_Clapiers,_marquis_de_Vauvenargues.txt"
Luce Irigaray,born 1930,Luce_Irigaray.txt
Lucian,c. 120 – c. 180,Lucian.txt
Lucien Goldmann,1913–1970,Lucien_Goldmann.txt
Lucien Lévy-Bruhl,1857–1939,Lucien_Lévy-Bruhl.txt
Lucilio Vanini,1585–1619,Lucilio_Vanini.txt
Lucio Colletti,1924–2001,Lucio_Colletti.txt
Lucretius,c. 99 – 55 BC,Lucretius.txt
Lucrezia Marinella,1571–1653,Lucrezia_Marinella.txt
Ludovico Silva,1937–1988,Ludovico_Silva.txt
Ludwig Andreas Feuerbach,1804–1872,Ludwig_Andreas_Feuerbach.txt
Ludwig Binswanger,1881–1966,Ludwig_Binswanger.txt
Ludwig Boltzmann,1844–1906,Ludwig_Boltzmann.txt
Ludwig Büchner,1824–1899,Ludwig_Büchner.txt
Ludwig Klages,1872–1956,Ludwig_Klages.txt
Ludwig Landgrebe,1902–1992,Ludwig_Landgrebe.txt
Ludwig Wittgenstein,1889–1951,Ludwig_Wittgenstein.txt
Ludwig von Bertalanffy,1901–1972,Ludwig_von_Bertalanffy.txt
Ludwik Fleck,1896-1961,Ludwik_Fleck.txt
Luigi Ferri,1826–1895,Luigi_Ferri.txt
Luis de Molina,1535–1600,Luis_de_Molina.txt
Luitzen Egbertus Jan Brouwer,1881–1966,Luitzen_Egbertus_Jan_Brouwer.txt
Lynne Rudder Baker,1944–2017,Lynne_Rudder_Baker.txt
Lysander Spooner,1808–1887,Lysander_Spooner.txt
Lyubov Axelrod,1868–1946,Lyubov_Axelrod.txt
M.N.Roy,1887–1954,M.N.Roy.txt
Madeleine de Scudéry,1607–1701,Madeleine_de_Scudéry.txt
Madhava of Sangamagrama,died 1386,Madhava_of_Sangamagrama.txt
Mahatma Gandhi,1869–1948,Mahatma_Gandhi.txt
Mahavira,599–527&nbsp;BC,Mahavira.txt
Maimonides,1135–1204,Maimonides.txt
Maine de Biran,1766–1824,Maine_de_Biran.txt
Malcolm Budd,born 1941,Malcolm_Budd.txt
Mani (prophet),3rd century,Mani_(prophet).txt
Mao Zedong,1893–1976,Mao_Zedong.txt
Marcel Gauchet,born 1946,Marcel_Gauchet.txt
Marcel Proust,1871–1922,Marcel_Proust.txt
Marcion of Sinope,110–160,Marcion_of_Sinope.txt
Marcus Aurelius,121–180,Marcus_Aurelius.txt
Margaret Cavendish,1623–1673,Margaret_Cavendish.txt
Margaret Fell,1614–1702,Margaret_Fell.txt
Marie de Gournay,1565–1645,Marie_de_Gournay.txt
Marilyn Frye,born 1941,Marilyn_Frye.txt
Marilyn McCord Adams,1943–2017,Marilyn_McCord_Adams.txt
Marin Mersenne,1588–1648,Marin_Mersenne.txt
Mario Bunge,1919–2020,Mario_Bunge.txt
Mark Sainsbury (philosopher),born 1943,Mark_Sainsbury_(philosopher).txt
Marko Marulić,1450–1524,Marko_Marulić.txt
Marquis de Condorcet,1743–1794,Marquis_de_Condorcet.txt
Marsilio Ficino,1433–1499,Marsilio_Ficino.txt
Marsilius of Inghen,1330–1396,Marsilius_of_Inghen.txt
Marsilius of Padua,1270–1342,Marsilius_of_Padua.txt
Martha Nussbaum,born 1947,Martha_Nussbaum.txt
Martin Buber,1878–1965,Martin_Buber.txt
Martin Heidegger,1889–1976,Martin_Heidegger.txt
Martin Knutzen,1713–1751,Martin_Knutzen.txt
Martin Luther,1483–1546,Martin_Luther.txt
Martin Luther King Jr.,1929–1968,Martin_Luther_King_Jr..txt
Mary Astell,1666–1731,Mary_Astell.txt
Mary Midgley,1919–2018,Mary_Midgley.txt
Mary Wollstonecraft,1759–1797,Mary_Wollstonecraft.txt
Matthew Arnold,1822–1888,Matthew_Arnold.txt
Matthew Tindal,1657–1733,Matthew_Tindal.txt
Matthew of Aquasparta,1238–1302,Matthew_of_Aquasparta.txt
Maurice Blanchot,1907–2003,Maurice_Blanchot.txt
Maurice Blondel,1861–1949,Maurice_Blondel.txt
Maurice Merleau-Ponty,1908–1961,Maurice_Merleau-Ponty.txt
Max Black,1909–1988,Max_Black.txt
Max Horkheimer,1895–1973,Max_Horkheimer.txt
Max Planck,1858–1947,Max_Planck.txt
Max Scheler,1874–1928,Max_Scheler.txt
Max Stirner,1806–1856,Max_Stirner.txt
Max Weber,1864–1920,Max_Weber.txt
Meister Eckhart,1260–1327/8,Meister_Eckhart.txt
Melissus of Samos,late 5th century&nbsp;BC,Melissus_of_Samos.txt
Menasseh Ben Israel,1604–1657,Menasseh_Ben_Israel.txt
Mencius,372–289 BC,Mencius.txt
Menyhért Palágyi,1859–1924,Menyhért_Palágyi.txt
Merab Mamardashvili,1930–1990,Merab_Mamardashvili.txt
Michael A. Smith (philosopher),born 1954,Michael_A._Smith_(philosopher).txt
Michael Dummett,1925–2011,Michael_Dummett.txt
Michael Faraday,1791–1867,Michael_Faraday.txt
Michael Frede,1940–2007,Michael_Frede.txt
Michael Hardt,born 1960,Michael_Hardt.txt
Michael Löwy,born 1938,Michael_Löwy.txt
Michael Oakeshott,1901–1990,Michael_Oakeshott.txt
Michael Polanyi,1891–1976,Michael_Polanyi.txt
Michael Ruse,born 1940,Michael_Ruse.txt
Michael Sandel,born 1953,Michael_Sandel.txt
Michael Tye (philosopher),born 1950,Michael_Tye_(philosopher).txt
Michael Walzer,born 1935,Michael_Walzer.txt
Michal Sedziwój,1566–1636,Michal_Sedziwój.txt
Michel Foucault,1926–1984,Michel_Foucault.txt
Michel Henry,1922–2002,Michel_Henry.txt
Michel Onfray,born 1959,Michel_Onfray.txt
Michel Serres,1930–2019,Michel_Serres.txt
Michel Villey,1914–1988,Michel_Villey.txt
Michel de Certeau,1925–1986,Michel_de_Certeau.txt
Michel de Montaigne,1533–1592,Michel_de_Montaigne.txt
Michelangelo Fardella,1646–1718,Michelangelo_Fardella.txt
Michèle Le Dœuff,born 1948,Michèle_Le_Dœuff.txt
Miguel Abensour,1939–2017,Miguel_Abensour.txt
Miguel de Unamuno,1864–1936,Miguel_de_Unamuno.txt
Mihailo Marković,1923–2010,Mihailo_Marković.txt
Mikhail Bakhtin,1895–1975,Mikhail_Bakhtin.txt
Mikhail Bakunin,1814–1876,Mikhail_Bakunin.txt
Mikhail Lifshitz,1905–1983,Mikhail_Lifshitz.txt
Miki Kiyoshi,1897–1945,Miki_Kiyoshi.txt
Mikyo Dorje,1507–1554,Mikyo_Dorje.txt
Milan Kangrga,1923–2008,Milan_Kangrga.txt
Milan Vidmar,1885–1962,Milan_Vidmar.txt
Mir Damad,died 1631,Mir_Damad.txt
Mircea Eliade,1907–1986,Mircea_Eliade.txt
Miura Baien,1723–1789,Miura_Baien.txt
Mohammed Arkoun,1928-2010,Mohammed_Arkoun.txt
Monroe Beardsley,1915–1985,Monroe_Beardsley.txt
Mordecai Kaplan,1881–1983,Mordecai_Kaplan.txt
Moritz Schlick,1882–1936,Moritz_Schlick.txt
Morris Raphael Cohen,1880–1947,Morris_Raphael_Cohen.txt
Moses Hess,1812–1875,Moses_Hess.txt
Moses Mendelssohn,1729–1786,Moses_Mendelssohn.txt
Moses ben Jacob Cordovero,1522–1570,Moses_ben_Jacob_Cordovero.txt
Moses ibn Ezra,1070–1138,Moses_ibn_Ezra.txt
Motoori Norinaga,1730–1801,Motoori_Norinaga.txt
Mozi,c. 470 – c. 390 BC,Mozi.txt
Muammar Gaddafi,1941–2011,Muammar_Gaddafi.txt
Muhammad Abduh,1849–1905,Muhammad_Abduh.txt
Muhammad Iqbal,1877–1938,Muhammad_Iqbal.txt
Mulla Hadi Sabzevari,1797–1873,Mulla_Hadi_Sabzevari.txt
Mulla Sadra,1571–1640,Mulla_Sadra.txt
Muro Kyuso,1658–1734,Muro_Kyuso.txt
Musonius Rufus,1st century,Musonius_Rufus.txt
Myles Frederic Burnyeat,1939–2019,Myles_Frederic_Burnyeat.txt
Nachman Krochmal,1785–1840,Nachman_Krochmal.txt
Nae Ionescu,1890–1940,Nae_Ionescu.txt
Nagarjuna,ca. 200 CE,Nagarjuna.txt
Nahmanides,1194–1270,Nahmanides.txt
Nancy Cartwright (philosopher),born 1943,Nancy_Cartwright_(philosopher).txt
Nasir al-Din al-Tusi,1201–1274,Nasir_al-Din_al-Tusi.txt
Nathan Salmon,born 1951,Nathan_Salmon.txt
Nathaniel Culverwel,1619–1651,Nathaniel_Culverwel.txt
Ned Block,born 1942,Ned_Block.txt
Nelson Goodman,1906–1998,Nelson_Goodman.txt
Nemesius of Emesa,fl. c. 400,Nemesius_of_Emesa.txt
Newton da Costa,born 1929,Newton_da_Costa.txt
Niccolò Machiavelli,1469–1527,Niccolò_Machiavelli.txt
Nichiren,1222–1282,Nichiren.txt
Nicholas Onufrievich Lossky,1870–1965,Nicholas_Onufrievich_Lossky.txt
Nicholas Rescher,born 1928,Nicholas_Rescher.txt
Nicholas Wolterstorff,born 1932,Nicholas_Wolterstorff.txt
Nicholas of Autrecourt,c. 1300 – 1369,Nicholas_of_Autrecourt.txt
Nicholas of Cusa,1401–1464,Nicholas_of_Cusa.txt
Nicola Abbagnano,1901–1990,Nicola_Abbagnano.txt
Nicolai Hartmann,1882–1950,Nicolai_Hartmann.txt
Nicolas Boileau-Despréaux,1636–1711,Nicolas_Boileau-Despréaux.txt
Nicolas Malebranche,1638–1715,Nicolas_Malebranche.txt
Nicolaus Copernicus,1473–1543,Nicolaus_Copernicus.txt
Nicolaus Taurellus,1547–1606,Nicolaus_Taurellus.txt
Nicole Oresme,1320–1382,Nicole_Oresme.txt
Nicoletto Vernia,1442–1499,Nicoletto_Vernia.txt
Nicos Poulantzas,1936–1979,Nicos_Poulantzas.txt
Niels Bohr,1885–1962,Niels_Bohr.txt
Nikolai Berdyaev,1874–1948,Nikolai_Berdyaev.txt
Nikolai Bukharin,1888–1938,Nikolai_Bukharin.txt
Nikolai Chernyshevsky,1828–1889,Nikolai_Chernyshevsky.txt
Nikolai Fyodorovich Fyodorov,1828–1906,Nikolai_Fyodorovich_Fyodorov.txt
Nikolai Ivanovich Kareev,1850–1931,Nikolai_Ivanovich_Kareev.txt
Nikolai Konstantinovich Mikhailovskii,1842–1904,Nikolai_Konstantinovich_Mikhailovskii.txt
Nishi Amane,1829–1897,Nishi_Amane.txt
Nishida Kitaro,1870–1945,Nishida_Kitaro.txt
Nishitani Keiji,1900–1990,Nishitani_Keiji.txt
Noah Porter,1811–1892,Noah_Porter.txt
Noam Chomsky,born 1928,Noam_Chomsky.txt
Norberto Bobbio,1909–2004,Norberto_Bobbio.txt
Norman Kemp Smith,1872–1958,Norman_Kemp_Smith.txt
Norman Malcolm,1911–1990,Norman_Malcolm.txt
Norman Robert Campbell,1880–1949,Norman_Robert_Campbell.txt
Norwood Russell Hanson,1922–1967,Norwood_Russell_Hanson.txt
Novalis,1772–1801,Novalis.txt
Nuel Belnap,born 1930,Nuel_Belnap.txt
Numenius of Apamea,2nd century,Numenius_of_Apamea.txt
Octave Hamelin,1856–1907,Octave_Hamelin.txt
Odo Marquard,1928–2015,Odo_Marquard.txt
Oets Kolk Bouwsma,1898–1978,Oets_Kolk_Bouwsma.txt
Ogyū Sorai,1666–1728,Ogyū_Sorai.txt
Olaf Stapledon,1886–1950,Olaf_Stapledon.txt
"Oliver Wendell Holmes, Jr.",1841–1935,"Oliver_Wendell_Holmes,_Jr..txt"
Olympiodorus the Younger,495–570,Olympiodorus_the_Younger.txt
Omar Khayyam,1048–1131,Omar_Khayyam.txt
"Onora O'Neill, Baroness O'Neill of Bengarve",born 1941,"Onora_O'Neill,_Baroness_O'Neill_of_Bengarve.txt"
Orestes Brownson,1803–1876,Orestes_Brownson.txt
Origen of Alexandria,c. 182–c. 251,Origen_of_Alexandria.txt
Oswald Külpe,1862–1915,Oswald_Külpe.txt
Oswald Spengler,1880–1936,Oswald_Spengler.txt
Othmar Spann,1878–1950,Othmar_Spann.txt
Otto Liebmann,1840–1912,Otto_Liebmann.txt
Otto Neurath,1882–1945,Otto_Neurath.txt
Otto Rühle,1874–1943,Otto_Rühle.txt
Otto Weininger,1880–1903,Otto_Weininger.txt
P. F. Strawson,1919–2006,P._F._Strawson.txt
Panaetius,c. 185 – c. 110&nbsp;BC,Panaetius.txt
Pandurang Shastri Athavale,1920–2003,Pandurang_Shastri_Athavale.txt
Paracelsus,1493–1541,Paracelsus.txt
Parmenides,5th century&nbsp;BC,Parmenides.txt
Pasquale Galluppi,1770–1846,Pasquale_Galluppi.txt
Patañjali,2nd century&nbsp;BC,Patañjali.txt
Patricia Churchland,born 1943,Patricia_Churchland.txt
Patricia Kitcher,born 1948,Patricia_Kitcher.txt
Paul Carus,1852–1919,Paul_Carus.txt
Paul Churchland,born 1942,Paul_Churchland.txt
Paul Deussen,1845–1919,Paul_Deussen.txt
Paul Edwards (philosopher),1923–2004,Paul_Edwards_(philosopher).txt
Paul Feyerabend,1924–1994,Paul_Feyerabend.txt
Paul Gerhard Natorp,1854–1924,Paul_Gerhard_Natorp.txt
Paul Grice,1913–1988,Paul_Grice.txt
Paul Horwich,born 1947,Paul_Horwich.txt
Paul Lorenzen,1915–1995,Paul_Lorenzen.txt
Paul Ramsey (ethicist),1913–1988,Paul_Ramsey_(ethicist).txt
Paul Ree,1849–1901,Paul_Ree.txt
Paul Ricœur,1913–2005,Paul_Ricœur.txt
Paul Tillich,1886–1965,Paul_Tillich.txt
Paul Valéry,1871–1945,Paul_Valéry.txt
Paul Yorck von Wartenburg,1835–1897,Paul_Yorck_von_Wartenburg.txt
Paul de Man,1919–1983,Paul_de_Man.txt
Paul of Venice,1369–1429,Paul_of_Venice.txt
Paulo Freire,1921–1997,Paulo_Freire.txt
Pavel Aleksandrovich Florenskii,1882–1937,Pavel_Aleksandrovich_Florenskii.txt
Pavel Yudin,1899–1968,Pavel_Yudin.txt
Pedro da Fonseca (philosopher),1528–1599,Pedro_da_Fonseca_(philosopher).txt
Pelagius,c. 360 – c. 435,Pelagius.txt
Percy Williams Bridgman,1882–1961,Percy_Williams_Bridgman.txt
Petar II Petrović-Njegoš,1813–1851,Petar_II_Petrović-Njegoš.txt
Peter Abelard,1079–1142,Peter_Abelard.txt
Peter Annet,1693–1769,Peter_Annet.txt
Peter Aureol,c. 1280–1322,Peter_Aureol.txt
Peter Browne (theologian),1666–1735,Peter_Browne_(theologian).txt
Peter Damian,c. 1007–1072,Peter_Damian.txt
Peter Geach,1919–2013,Peter_Geach.txt
Peter Kropotkin,1842–1921,Peter_Kropotkin.txt
Peter Lavrovitch Lavrov,1823–1900,Peter_Lavrovitch_Lavrov.txt
Peter Lombard,c. 1100 – 1160,Peter_Lombard.txt
Peter Olivi,1248–1298,Peter_Olivi.txt
Peter Singer,born 1946,Peter_Singer.txt
Peter Sloterdijk,born 1947,Peter_Sloterdijk.txt
Peter Thielst,born 1951,Peter_Thielst.txt
Peter Tudvad,born 1966,Peter_Tudvad.txt
Peter Unger,born 1942,Peter_Unger.txt
Peter Wessel Zapffe,1899–1990,Peter_Wessel_Zapffe.txt
Peter Winch,1926–1997,Peter_Winch.txt
Peter of Auvergne,13th century,Peter_of_Auvergne.txt
Peter of Spain (author),13th century; usually identified with [[Pope John XXI]],Peter_of_Spain_(author).txt
Peter van Inwagen,born 1942,Peter_van_Inwagen.txt
Petrarch,1304–1374,Petrarch.txt
Petrus Ramus,1515–1572,Petrus_Ramus.txt
Philip the Chancellor,1160–1236,Philip_the_Chancellor.txt
Philipp Melanchthon,1497–1560,Philipp_Melanchthon.txt
Philippa Foot,1920–2010,Philippa_Foot.txt
Philippe Lacoue-Labarthe,1940–2007,Philippe_Lacoue-Labarthe.txt
Philo,20&nbsp;BC–40&nbsp;AD,Philo.txt
Philo of Larissa,1st century&nbsp;BC,Philo_of_Larissa.txt
Philo of Megara,300&nbsp;BC c.,Philo_of_Megara.txt
Philo the Dialectician,c. 300&nbsp;BC,Philo_the_Dialectician.txt
Philodemus,1st century&nbsp;BC,Philodemus.txt
Philolaus,c. 480 – c. 405&nbsp;BC,Philolaus.txt
Piero Martinetti,1872–1943,Piero_Martinetti.txt
Pierre Bayle,1647–1706,Pierre_Bayle.txt
Pierre Bourdieu,1930–2002,Pierre_Bourdieu.txt
Pierre Charron,1541–1603,Pierre_Charron.txt
Pierre Daniel Huet,1630–1721,Pierre_Daniel_Huet.txt
Pierre Duhem,1861–1916,Pierre_Duhem.txt
Pierre Gassendi,1592–1655,Pierre_Gassendi.txt
Pierre Jean George Cabanis,1757–1808,Pierre_Jean_George_Cabanis.txt
Pierre Laffitte,1823–1903,Pierre_Laffitte.txt
Pierre Laromiguière,1756–1837,Pierre_Laromiguière.txt
Pierre Leroux,1798–1871,Pierre_Leroux.txt
Pierre Louis Maupertuis,1698–1759,Pierre_Louis_Maupertuis.txt
Pierre Nicole,1625–1695,Pierre_Nicole.txt
Pierre Paul Royer-Collard,1763–1845,Pierre_Paul_Royer-Collard.txt
Pierre Teilhard de Chardin,1881–1955,Pierre_Teilhard_de_Chardin.txt
Pierre d'Ailly,1350–1420,Pierre_d'Ailly.txt
Pierre-Joseph Proudhon,1809–1865,Pierre-Joseph_Proudhon.txt
Pierre-Simon Laplace,1749–1827,Pierre-Simon_Laplace.txt
Pierre-Sylvain Regis,1632–1707,Pierre-Sylvain_Regis.txt
Pietro Pomponazzi,1462–1525,Pietro_Pomponazzi.txt
Pietro Ubaldi,1886–1972,Pietro_Ubaldi.txt
Placide Tempels,1906–1977,Placide_Tempels.txt
Plato,c. 427 – c. 347&nbsp;BC,Plato.txt
Plotinus,died 270,Plotinus.txt
Plutarch,c. 45 – c. 120,Plutarch.txt
Pope Gregory I,540–604,Pope_Gregory_I.txt
Pope Silvester II,c. 950–1003,Pope_Silvester_II.txt
Porphyry (philosopher),c. 232 – c. 304,Porphyry_(philosopher).txt
Posidonius,c. 135 – 51&nbsp;BC,Posidonius.txt
Prabhat Rainjan Sarkar,1921–1990,Prabhat_Rainjan_Sarkar.txt
Proclus,412–487,Proclus.txt
Prodicus,c. 450 – 399&nbsp;BC,Prodicus.txt
Profiat Duran,c. 1349–c. 1414,Profiat_Duran.txt
Protagoras,c. 481 – 420&nbsp;BC,Protagoras.txt
Pseudo-Dionysius the Areopagite,5th century,Pseudo-Dionysius_the_Areopagite.txt
Ptolemy,c. 85 – c. 165,Ptolemy.txt
Pyotr Chaadaev,1794–1856,Pyotr_Chaadaev.txt
Pyrrho,c. 360 – c. 270,Pyrrho.txt
Pythagoras,582 – 496&nbsp;BC,Pythagoras.txt
R. G. Collingwood,1889–1943,R._G._Collingwood.txt
R. M. Hare,1919–2002,R._M._Hare.txt
R.R. Rockingham Gill,born 1944,R.R._Rockingham_Gill.txt
Rabindranath Tagore,1861–1941,Rabindranath_Tagore.txt
Radovan Richta,1924–1983,Radovan_Richta.txt
Radulphus Brito,c. 1270–c. 1320,Radulphus_Brito.txt
Rafael Gambra Ciudad,1920–2004,Rafael_Gambra_Ciudad.txt
Raimo Tuomela,1940–2020,Raimo_Tuomela.txt
Ralph Barton Perry,1876–1957,Ralph_Barton_Perry.txt
Ralph Cudworth,1617–1688,Ralph_Cudworth.txt
